                     ,,,,,,,,,
Marca/Make,Motor/Engine,"Nº Original /
OEM #",N°300-INDY,A/E,D.E,D.I,H,µ,"Cant. por juego / 
QTY per box"
PERKINS,ASIENTO VALV. PERKINS 4203 ADM,"70,470,051",A5492,ADM,42.17,35.5,8.5,45º,6
PERKINS,"ASIENTO VALV. PERKINS 6-354  4-236 ESC
 6-354/4-236/6-35, 26-354,4 ASP TURBO ",33152154,A5025,ESC,42.68,32.72,9.52,45º,6
PERKINS,"ASIENTO VALV. PERKINS ESC
6-354. 4-236/48 Q20B4 (D10/20 - AGCO EST)",33152153,A5374,ESC,42.68,31.62,9.47,45º,6
PERKINS,"ASIENTO VALV. PERKINS 6354 ESC
 6-354/4-236/6-35, 26-354,4 ASP NORMAL  ",33152139,A5023,ESC,42.69,31.88,9.5,45º,6
PERKINS,ASIENTO VALV. PERKINS 6-357 ESC,70470004,A5019,ESC,47.66,34.86,9.55,45º,6
PERKINS,ASIENTO VALV. PERKINS 740/101 ADM,,A5700,ADM,47.7,35.6,5.22,30º,6
PERKINS,ASIENTO VALV. PERKINS 6358 ADM V8 510,70470048,A5447D,ADM,48.25,41,6.3,45º,0
PERKINS,ASIENTO VALV. PERKINS ADM 6-354/3 GNC,33125121,A5373,ADM,51.28,40.23,7.14,50º,0
PERKINS,"ASIENTO VALV. PERKINS 6354 ADM
. 6-354/4-236/6-35, 26-354,4 ASP NORMAL Y TURBO ",33152155,A5022,ADM,51.29,40.3,7.2,45º,6
PERKINS,"ASIENTO VALV. PERKINS ADM
6-354. 4-236/48 Q20B4 (D10/20 - AGCO EST)",70470053,A5413,ADM,51.3,37.9,7.2,45º,0
PERKINS,ASIENTO VALV. PERKINS 6357 ADM,70470052,A5448,ADM,53,41,10.5,45º,0
PERKINS,"MOT. 6-354/4-236/6-35,26-354,4 TURBO / 6 Cyl",33152155,A6774,ADM,51.3,40.3,7.2,,6
PEUGEOT,"ASIENTO VALV. PEUGEOT 1600 ESC
404, 504 Motor XM, KF5, KF6, XM7, XNA 1,6/1,8",0227-44,A5210,ESC,37.5,30.9,7.1,45º,4
PEUGEOT,ASIENTO VALV. PEUGEOT XD2 FASE 4,,A5294,ESC ,36.18,30,6.3,,
PEUGEOT,PEUGEOT - 504 GNC,301909 A,A9094D,,43.65,36.4,10.43,30°,
PEUGEOT," PEUGEOT  - 405 GLD/GRD/1.9 Diesel/306 XRD 
",,A9102,ADM,40.15,34.15,6,45°,
PEUGEOT,PEUGEOT - INDENOR XD3 TURBO DIESEL,,A9140,ADM,44.2,38,6.2,45°,
PEUGEOT,"ASIENTO VALVULA PEUGEOT 2000 ADM
 504 GL/TL/GR/SR-2000 GNC",0226-50,A5207,ADM,43.65,35.5,10.4,30º,4
PEUGEOT,"ASIENTO VALVULA PEUGEOT 1600 ADM
 404, 504 Motor XM, KF5, KF6, XM7, XNA 1,6/1,8",0226-86,A5209,ADM,44.1,37.2,7.1,30º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 205 GT XS 1,4 ESC
205,305 GT,XS 106 Motor TU3 1,4 Nafta",,A5515D,ESC,31.15,24.3,7,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 406/306/605 ESC
406 Motor XU7JP4 1,8 406,306,605 Motor XU10JUR 2,0 16V Nafta",,A5524D,ESC,31.86,25.6,6.5,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 106/205 ESC
1.4 I.,206N Motor TU5JP 1,4/1,6 I ",301918,A5303,ESC,33.1,26.5,8,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 405 TURBO ESC
 405 GLD/GRD 1,9 TURBO, 306 XRD",9613765480,A5190,ESC,34.13,28.8,5.55,45º,4
PEUGEOT,VALVE SEAT PEUGEOT 9456079980,9456079980,A5352,,34.57,29.9,7.6,,4
PEUGEOT,VALVE SEAT PEUGEOT 9456080580,9456080580,A5354,,36.07,29.9,7.6,45º,0
PEUGEOT,"ASIENTO VALV. PEUGEOT 405 NAFTA ESC
 205, 305, 405 Motor XU7-XU9  1905cc. - GNC",,A5326,ESC,36.1,30.8,7,45º,4
PEUGEOT,"ASIENTO VALV,. PEUGEOT XU7 JPK GNC ESC
Motor XU7JPK 206-Nafta",,A5347D,ESC,36.1,29.9,7.15,45º,0
PEUGEOT,"ASIENTO VALV. PEUGEOT 406/306/605 ADM
406 Motor XU7JP4 1,8 406,306,605 Motor XU10JUR 2,0 16V Nafta",,A5516D,ADM,36.68,30,6.5,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 2000 ESC
 504 GL/TL/GR/SR-2000 GNC",0227-42,A5208,ESC,37.2,30.5,7,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 404/504 1,6 ESC",,A5362,ESC,37.56,29.1,7.2,45º,4
PEUGEOT,ASIENTO VALV. PEUGEOT -CITROEN,9636991080,A5322,,38.13,29.5,6.65,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 205 GT XS 1.4 ADM
205,305 GT,XS 106 Motor TU3 1,4 Nafta",,A5523D,ADM,38.6,31.8,7,30º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 405 TURBO ADM
 405 GLD/GRD 1,9 TURBO, 306 XRD",9606351380,A5189,ADM,40.15,33.6,6.25,45º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 106/205 ADM
1.4 I.,206N Motor TU5JP 1,4/1,6 I ",301917,A5302,ADM,40.6,32,8,30º,4
PEUGEOT,ASIENTO VALV. PEUGEOT 9456079680,9456079680,A5351,,41.07,32,8.9,,4
PEUGEOT,VALVE SEAT PEUGEOT 9458080780,9456080280,A5353,,42.07,34.8,8.9,,0
PEUGEOT,ASIENTO VALVULA PEUGEOT XU7 JPK GNC ADM,,A5346D,ADM,42.1,34.8,8.2,45º,0
PEUGEOT,ASIENTO VALV. PEUGEOT XD2 DIESEL ADM,,A9121,ADM,42.18,33.74,8.3,30º,4
PEUGEOT,"ASIENTO VALV. PEUGEOT 405 NAFTA ADM
 205, 305, 405 Motor XU7-XU9  1905cc. - GNC",,A5325,ADM,43.16,34.5,7,45º,4
PEUGEOT,"ASIENTO VALV.PEUGEOT 404/504 1,6 ADM",,A5367,ADM,43.84,35,7,30º,4
PEUGEOT,ASIENTO VALV.PEUGEOT 308 THP ESCAPE,,A6768,ESC,27.65,22,7,,4
R.V.I,ASIENTO VALVULA RVI EX,500146776,A5627,ESC,57.14,44,9.7,45º,6
R.V.I,ASIENTO VALVULA RVI  IN,500678927,A5626,ADM,61.15,52,9.5,30º,6
RENAULT,Renault 18 MOTOR 1.8/2.0,,A5269D,ESC,39.72,33.1,7,45°,
RENAULT,RENAULT R 11 1400cc  GNC ,,A5306D,ADM,35.68,28.5,7.75,45°,
RENAULT,RENAULT 12 GNC,,A5309D,ADM,35.15,29,6.5,45°,
RENAULT,"R9, R11 - 1.6 LTS. NAFTA / GNC",,A5509D,ADM,35.5,28.5,9.15,45°,
RENAULT,Renault R12 GNC,,A9077D,ESC,31.55,25.5,6.5,45°,
RENAULT,ASIENTO VALV. RENAULT GORDINI ESC,,A5113,ESC,27.15,20.4,6,30º,4
RENAULT,ASIENTO VALV. RENAULT Scenic/Clio/Megane K4M 1.6 16V ESC,,A5518D,ESC,28.84,23,5.9,45º,4
RENAULT,"ASIENTO VALV.RENAULT 11  1,6 ESC
 1,6- R9/R11/R12",,A5225,ESC,30.65,25.3,6.2,45º,4
RENAULT,"ASIENTO VALV.RENAULT 9 ESC
 1,6- R9/R11/R12 GNC",,A5228,ESC,30.65,25.3,6.2,45º,4
RENAULT,"RENAULT MASTER 2,5 DCI",,A6746,ESC,31.12,25,5.5,45º,
RENAULT,"ASIENTO VALV.RENAULT 6/12 1,4 ESC",,A5214,ESC,31.5,25.5,6,45º,4
RENAULT,ASIENTO VALV. RENAULT GORDINI ADM,,A5112,ADM,31.75,25,6,30º,4
RENAULT,"RENAULT MASTER 2,5 DCI",,A6747,ADM,32.32,27,5.5,45º,
RENAULT,"ASIENTO VALV.RENAULT 19 CLIO EXPRESS ESC
 1,9D- R19 Clio/Express/Kangoo F8Q ",,A5267,ESC,32.7,27,7,45º,4
RENAULT,"ASIENTO VALV. RENAULT Scenic/Clio/Megane K4M 1.6 16V ADM
 1,6- Senic/Megane/Clio K4M 16Valv",,A5517D,ADM,33.52,28.7,5,45º,0
RENAULT,"ASIENTO VALV.RENAULT LAGUNA/MEGANE ESC
 1,9TDI- Laguna/Megane D /Turbo Diesel F9Q 1.9 Lts / Clio II ",,A5398,ESC,33.75,28,7,45º,4
RENAULT,"ASIENTO VALV.RENAULT 18/21 ESC
 2,1- R18 / R21 Trafic Diesel J8 ",,A5396,ESC,34.15,28,7,45º,4
RENAULT,"ASIENTO VALV.RENAULT 6/12 1,4 ADM.
 1,4- R6/12 GNC",,A5213,ADM,34.5,28.1,6,45º,4
RENAULT,"ASIENTO VALV.RENAULT CLIO/MEGANE/KANGOO K7M 1,6 NAFTA/GNC ESC
Clio Motor E7J 1400 Frances, Megane, Kango Motor K7M 1,6 Nafta/Gnc",,A5526,ESC,34.75,28,6.5,,4
RENAULT,"ASIENTO VALV.RENAULT 11  1,6 ADM.
 1,6- R9/R11/R12",,A5224,ADM,35.2,30.1,6.2,45º,4
RENAULT,"ASIENTO VALV. RENAULT 9 ADM.
 1,6- R9/R11/R12 GNC",,A5227,ADM,35.65,30.1,9.2,45º,4
RENAULT,"ASIENTO VALV.RENAULT LAGUNA/MEGANE ADM
1,9TDI- Laguna/Megane D /Turbo Diesel F9Q 1.9 Lts / Clio II ",,A5397,ADM,37.1,30,7,45º,4
RENAULT,"ASIENTO VALV.RENAULT 19 CLIO EXPR.
 1,9D- R19 Clio/Express/Kangoo F8Q ",,A5268,ADM,37.2,31,7,45º,4
RENAULT,"ASIENTO VALV.RENAULT 2,5 CDI G9U MASTER 754 16VALV.ESC",,A5656,ESC,37.5,31,7.5,45º,4
RENAULT,"ASIENTO VALV.RENAULT CLIO/MEGANE/KANGOO K7M 1,6 NAFTA/GNC ADM
Clio Motor E7J 1400 Frances, Megane, Kango Motor K7M 1,6 Nafta/Gnc",,A5525,ADM,38.75,32.5,7,,4
RENAULT,"ASIENTO VALV.RENAULT 18 2,0 ESC",,A5226,ESC,39.6,31.7,7,45º,4
RENAULT,"ASIENTO VALV.RENAULT 19 CHAMADE 1,7 GNC",,A5630,ADM,41.2,33,6.5,30º,4
RENAULT,"ASIENTO VALV. RENAULT 18/21 ADM
 2,1- R18 / R21 Trafic Diesel J8 ",,A5395,ADM,42.15,34,7,45º,4
RENAULT,"ASIENTO VALV.RENAULT 2,5 cc.  CDI  G9U Master 754 16Valv. ",,A5655,ADM,42.25,34,7.5,30º,4
ROVER,300 D,,A5557,ESC,38.09,30.8,8.4,,6
ROVER,300 D,,A5556,ADM,40.49,34.2,8,,6
SCANIA,SCANIA mot. DC11(New) /DN12/DS12/DSC12 MODELO 104,1403825-6585,A9147D,ADM,46.07,35,7.95,,
SCANIA,"ASIENTO VALV. SCANIA 111-112-113 ESC 
VABIS D11 / D10 / D510 / Turbo DS11 / Turbo L111",242672,A9103,ESC,52,40.6,10.27,45º,6
SCANIA,"ASIENTO VALV. SCANIA ESC 
VABIS mot. DC11(New) /DN12/DS12/DSC12 MODELO 104",,A9100D,ESC,44.09,35.1,8.55,45º,6
SCANIA,"ASIENTO VALV. SCANIA DC 9, DC 9 EURO 2/3 // DC 13, EURO 3 a 6, 6 CYL. (1999 A 2005)",1412604,A5727,ESC,46.08,34.5,8.9,15º,6
SCANIA,ASIENTO SCANIA,,A5726,ADM,48.06,39.5,6.9,20º,0
SCANIA,"ASIENTO VALV. SCANIA 112-113 ADM 
VABIS MOTOR D11/10/510-TURBO DS11/L111 ",289517,A9112,ADM,56.02,47.57,7.5,20º,6
SCANIA,ASIENTO VALV. SCANIA ADM,,A5333D,ADM,46.05,35,7.9,20°,6
SCANIA,AS.DE VAL.SCANIA ESC.,,A5334D,ESC,44.1,35,8.5,45°,6
SCANIA VABIS,"ASIENTO VALV. SCANIA 111-112-113 ESC
 DS 11 DSC 11/14       112, 113, 114, 143, 144",242672,A5053,ESC,52,40.65,10.3,45º,6
SCANIA VABIS,"ASIENTO VALV.SCANIA 113 ESC
 DS 11 DSC 11/14       112, 113, 114, 143, 144",372972,A5293,ESC,52,39,10.3,45º,6
SCANIA VABIS,"ASIENTO VALV. SCANIA L 90 ESC
 L 80 TURBO",16663/6,A5117,ESC,46.95,37,7.65,30º,6
SCANIA VABIS,"ASIENTO VALV. SCANIA ESC
 L 80",245844,A5625,ESC,46.96,36.5,8.8,45º,6
SCANIA VABIS,ASIENTO VALV. SCANIA DS9/DSC9/ TURBO ESC,351352,A5601,ESC,49.08,39,9.8,45º,6
SCANIA VABIS,"ASIENTO VALV.SCANIA DS 14 ESC,
 D 11 DS 11   11000CC",,A5051,ESC,51.9,39.5,7.7,30º,6
SCANIA VABIS,"ASIENTO VALV.SCANIA D 11 DS 11 ESC
 D 11 DS 11   11000CC",131357,A5134,ESC,52,40.22,7.9,30º,6
SCANIA VABIS,ASIENTO VALV.SCANIA DS9/DSC9 TURBO ADM,1371885,A5602,ADM,53.06,44,7.4,20º,6
SCANIA VABIS,ASIENTO VALV.SCANIA L 80 ADM,275456,A5114,ADM,55,45,9,30º,6
SCANIA VABIS,ASIENTO VALV.SCANIA D10/DN11/L111,246619-20Y,A5640,ADM,56,47.7,7.75,30º,6
SCANIA VABIS,"ASIENTO VALV. SCANIA 112-113 ADM
 DS 11 DSC 11/14       112, 113, 114, 143, 144",289517,A5052,ADM,56.01,47.5,7.4,20º,6
SCANIA VABIS,"ASIENTO VALV. SCANIA DS 14 ADM
 D 11 DS 11   11000CC",131356,A5050,ADM,59.9,49.5,7.7,30º,6
TOYOTA,ASIENTO VAL.TOYOTA COROLLA IC 1.8 / 2C 2.0 DIESEL,,A5400,ESC,34.2,26.5,6,45°,
TOYOTA,ASIENTO VALV. TOYOTA  C3-TE ESC,,A5547,ESC,34.03,27.8,7,-,6
TOYOTA,"ASIENTO VALV.TOYOTA ESC,",,A5328,ESC,35.26,29,6.05,45º,0
TOYOTA,ASIENTO VALV.TOYOTA HILUX ESC,,A5332,ESC,36.15,30,6,45º,0
TOYOTA,"ASIENTO VALV.TOYOTA HILUX 2,0-2,5 ESC
 HILUX 2L-2.5 Lts / 3L 2.8L Diesel 5L",,A5402,ESC,36.15,30,8,45º,4
TOYOTA," T 3,0 TD IKZ, IKZT, IKZTE 4 RUNNER II/III (N13)/N18",,A5577,ESC,37.1,32,6,45,
TOYOTA,ASIENTO VALV. TOYOTA T 22 ESC,,A5235,ESC,39.01,32,8,45º,4
TOYOTA,ASIENTO VALV. TOYOTA C3 ADM,,A5546,ADM,39.98,33.8,7,-,6
TOYOTA,"ASIENTO VALV. TOYOTA ADM.
 Corolla 1C 1.8 / 2C 2.0Lts Diesel",,A5399,ADM,40.2,31,6,45º,4
TOYOTA," T 3,0 TD IKZ, IKZT, IKZTE 4 RUNNER II/III (N13)/N18",,A5578,ADM,42.61,37.5,5.9,45,
TOYOTA,"ASIENTO VALV. TOYOTA HILUX 2,0-2,5 ADM
 HILUX 2L-2.5 Lts / 3L 2.8L Diesel 5L",,A5401,ADM,42.7,36,6.5,45º,4
TOYOTA,ASIENTO VALV. TOYOTA HILUX ADM,,A5331,ADM,43.65,37,6,45º,4
TOYOTA,ASIENTO VALV.TOYOTA 2D EX,,A6003,ESC,46.13,39.2,7.05,45º,6
TOYOTA,ASIENTO VALV.TOYOTA T 22 ADM.,,A5234,ADM,48.01,40,8,45º,4
TOYOTA,ASIENTO VALV. TOYOTA 2D IN,,A6004,ADM,50.13,43.2,7.55,45,6
VILLA,ASIENTO VALV. VILLA ESC  OM 400/1,1026,A5458,ESC,35,28.2,8,45º,0
VILLA,ASIENTO VALV. VILLA ESC,,A5144,ESC,38.04,31,8,45º,4
VILLA,ASIENTO VALV. VILLA ADM,,A5145,ADM,42,35.5,7,45º,4
VILLA,ASIENTO VILLA A 4100088,A4100088,A5453,ADM,47.18,36,8,45º,4
VOLKSWAGEN,VW POLO - GOLF 1.9 Diesel,,A9097,ADM,37.02,31,8,45°,
VOLKSWAGEN,"ASIENTO VALV. ADAPT.AMAROK 2,0 TD 16V ESC",,A9284,ESC,27.5,21.5,6,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW GOL TREND/SURAN/FOX 1,6 ESC",,A5682,ESC,28.65,23.5,5.5,45º,4
VOLKSWAGEN,"ASIENTO VALV. ADAPT. AMAROK 2,0 TD 16V ADM",,A9285,ADM,29.9,24.5,6,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW KOMBI
 1200/1300 AIRE",040101441-5,A5490,ESC,32.14,26,8.5,-,4
VOLKSWAGEN,"ASIENTO VALV. VW SENDA ESC 
SENDA-GOLF 1,6D / POLO - GOLF 1,9D","068,103,441",A5087,ESC,33,26.9,7.5,45º,4
VOLKSWAGEN,ASIENTO VALV. VW SENDA ESC,5305-161,A9098,ESC,33.05,27.5,8,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW MOTOR AP 1600  (1,6) , 8v, L4 SOHC, ESCAPE",056103441-A,A5428,ESC,33.1,27.5,7.3,30°,4
VOLKSWAGEN,"ASIENTO VALV. VW GACEL 1,8 ESC,",,A5218,ESC,33.55,27.3,8,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW SANTANA 1,8-2,0 ESC",26103441,A5130,ESC,33.6,27.6,7.3,45º,4
VOLKSWAGEN,ASIENTO VALV. VW 1500/1600 ESC,040101441-3,A5430,ESC,34.14,28,8.5,-,0
VOLKSWAGEN,ASIENTO VALV. VW KOMBI BUS ESC,,A5297,ESC,34.15,27.9,8.25,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW SENDA/ GACEL/ SAVEIRO /GOLF 1,6 D  ADM.","068,103,431",A5086,ADM,35,29,7.8,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW GOL, MOTOR AP 1600 (1,6), 8V, L4, SOHC, ADM ",056103431-D,A5431,ADM,35.1,29,7.9,-,4
VOLKSWAGEN,"ASIENTO VALV. VOLKSWAGEN GOL TREND 1,6 8V ADM 
SURAN/FOX Motor EA111 1,6 8 valv",,A5708,ADM,35.6,30.4,5.5,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW GACEL 1,6 ESC.",,A5220,ESC,36,28.45,9.15,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW POLO 1,9 ADM.
VW GACEL 1.6 GNC",,A5095,ADM,37,31,7.8,45º,4
VOLKSWAGEN,"ADAPTACION 37X27,50X9,50 MM",,A6687,ESC,37,27.5,9.5,45º,6
VOLKSWAGEN,"ASIENTO VALV. VW UP 1,6 ADM",040101431-4,A5429,ADM,37.14,31,8.5,-,4
VOLKSWAGEN,ASIENTO VALV. VW KOMBI BUS ADM,,A5296,ADM,37.15,30.9,8.15,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW GACEL 1,6 ADM.",,A5219,ADM,38,30.8,9.15,45º,4
VOLKSWAGEN,"ASIENTO VALV. VW GACEL 1,8 ADM",,A5217,ADM,39,32.5,8.4,45º,4
VOLKSWAGEN,"ASIENTO VALVULA VW
 VW SANTANA 1,8/2,0",35103431,A5427,ADM,39.1,33,7.8,-,4
VOLKSWAGEN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ESC",,A6767,ESC,36.1,28.4,6.55,45°,6
VOLKSWAGEN,"ASIENTO VALV. MAN D0834/ 836- VW 17.280 (4.6, 16v, L4 y 6.9, 24v, L6) ADM",,A6766,ADM,40.08,30.25,8.3,30°,6
VOLKSWAGEN,"ADAPTACION 41X32,50X9,50 MM",,A6686,ADM,41,32.5,9.5,45º,6
VOLVO,ASIENTO VALV. VOLVO ,467657,A5651,,46.1,37.5,8.1,30º,6
VOLVO,ASIENTO VALV. VOLVO TD 162 ESC,1543861,A5476,ESC,48.54,35.5,10.36,45º,6
VOLVO," ASIENTO VALV. VOLVO TD 60 ESC
 D 60A 5,5D (88KW) F609/611 TD61F",4651550,A5474,ESC,41.6,31.9,9,45º,6
VOLVO,ASIENTO VALV. VOLVO,477659,A5652,,42.07,32.75,8.7,45º,6
VOLVO,"ASIENTO VALV. VOLVO FA12/NH12 ESC
 FH 12 / NH12 / FM D12A / 340/380/420  F12 380/420",3169366,A5450,ESC,43.07,33,8,45º,6
VOLVO,ASIENTO VALV. VOLVO,3169366-6        ,A5632,ESC,43.07,33.1,8,45º,6
VOLVO,"ASIENTO VOLVO D13 / MACK MP8; L6, 780 CI (12,8L) MP8 DIESEL, 50 HC, 24V, TURBO, ESC",20530103-9,A5645,ESC,43.07,33,7.5,25°,6
VOLVO,"ASIENTO VALV. VOLVO FH12 ESC
 FH 12 / NH12 / FM D12A 340/380/420  F12 380/420",3183227,A5414,ADM,43.08,31.8,8.5,30º,6
VOLVO,ASIENTO VALV. VOLVO ESC.,20459329-7    ,A5631,ADM,43.08,32.1,7.25,30º,6
VOLVO,ASIENTO VALV. VOLVO DH 12E ADM,21484829 - 7420459329,A5706D,ADM,43.08,32,7.25,30º,4
VOLVO,ASIENTO VALV. VOLVO FA12/NH12 ADM.,20412798,A5581,ADM,43.14,33,8.2,30º,6
VOLVO,ASIENTO VALV. VOLVO FH12 ESC,20459329,A5582,ESC,43.14,32,7.5,45º,6
VOLVO,ASIENTO VALV. VOLVO,465158,A5650,,43.58,35.4,6.05,30º,6
VOLVO,ASIENTO VALV. VOLVO D 70 ESC,421012/6          466266 ,A5501,ESC,44.07,34,8.9,45º,6
VOLVO,"ASIENTO VALV. VOLVO DH 12E ESC
 TD 70 6,7D F, N86  A, B, C, F, FS",21484834,A5707,ESC,44.08,33,8,30º,4
VOLVO,"ASIENTO VOLVO D13 / MACK MP8; L6, 780, CI (12,8L), DIESEL, SOHC, 24V, TURBO ADM",20561997-6,A5646,ADM,45.08,33.08,7.5,40°,6
VOLVO,"ASIENTO VOLVO D13 / MACK MP8; L4, 780 , CI (12,8l), DIESEL, SOHC, 24V, TURBO ADM",20740804,A9391,ADM,45.1,34,7.55,25°,
VOLVO,"ASIENTO VOLVO D13 / MACK MP8; L4, 780 , CI (12,8l), DIESEL, SOHC, 24V, TURBO ESC",20530103-9,A9392,ESC,43.07,35.3,7.5,40°,
VOLVO,"ASIENTO VALV. VOLVO D 70 ADM
 TD 70 6,7D F, N86  A, B, C, F, FS",421011/8,A5500,ADM,46.08,37.5,6.15,30º,6
VOLVO,"ASIENTO VALV.VOLVO 688 NL10 ESC
 TURBO TD 100 BF B 8 NL10",1545886,A5494,ESC,49.05,40,9.5,45º,6
VOLVO,"ASIENTO VALV.VOLVO TD 100 ESC
 TD 100B-T    F, FB, FL 88",4674750,A5158,ESC,49.06,40,11.5,45º,6
VOLVO,ASIENTO VALV. VOLVO TD 162 ADM,1543860,A5475,ADM,50.15,41,6.2,20º,6
VOLVO,"ASIENTO VALV.VOLVO TD 110 ESC
 TD 100 A/B/G    F10, F80, ",422012-5,A5083,ESC,51.11,40.1,9.5,45º,6
VOLVO,"AS. VOLVO TD 100 ADM Nº467474
 TD 100B-T    F, FB, FL 88",4674743,A5159,ADM,54.06,44.3,6.7,30º,6
VOLVO,"ASIENTO VALV. VOLVO TD 110  ADM
 TD 100 A/B/G    F10, F80, NL 10",422011-7,A5082,ADM,54.11,44.5,6.75,45º,6
VOLVO,"ASIENTO VALV. VOLVO N88 ESC
 D 120 TD 120/121     F 80, F 12",468448-6,A5081,ESC,56.6,45,9.5,45º,6
VOLVO,VALVE SEATS,,A5480,,59.11,46.6,9.15,45º,6
VOLVO,"ASIENTO VALV. VOLVO N88 ADM
 D 120 TD 120/121     F 80, F 12",423011-6,A5080,ADM,59.12,49,6.75,30º,6
WAUKESHA,ASIENTO VALV. WAUKESHA ESC,HW 176352 P,A5085,ESC,76.32,61.8,14.05,30º,6
WAUKESHA,ASIENTO VALV. WAUKESHA ADM,HW 176352 K,A5084,ADM,79.5,61.85,14.1,30º,6
,,,,,,,,,
,,,,,,,,,
***TEMPLADOS Y REVENIDOS SEGÚN NORMAS ORIGINALES***,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  ,,,,,,,,,
