CATÁLOGO DE VÁLVULAS 3B 2024,,,,,,,,,,,,,,,,,,,,
"Motor 
Engine","Aplicación 
Application","Cil 
Cyl","D
G","Nº 3B 
3B P/N","Sup Vast.   
Stem Over Size.","Ø Vástago     
Stem","Ø Cabeza      
Head","Largo Total 
Length",º,TIPO CHAV,CAB,#OE,#OE,#OE,#OE,#OE,#OE,#MORESA,#EDIVAL,
"1.6 Lts. - 1.8 Lts.  - 1986-87 - 16V
2.0 Lts. - (1995)  - 16V",145 / 146 / 155 / 147,4,G,3736-AC,STD.,6.98,33.6,113.4,45º,4,A,7766564,,,,,,,1144 A,Suitable for CNG             --------            Apto GAS
,,,,3737-ECB,STD.,6.96,28,108.5,45º,4,A,60674496,,,,,,,21144 E,
1.6 Lts. - 1.9 Lts. - (1984),145 - 146  TD / 155 TD,4,D,3316-AC,STD.,7.98,37.4,116.8,45º,2,C,5990532,7547158,,,,,,21167 A,
,,,,3317-EC,STD.,7.98,33.45,116.8,45º,2,A,5990533,7588577,,,,,,21167 E,
1.9 Lts. - 2.4 Lts. - (1998),155 - 156 TD 1997 / M717AT.24.T,5,D,3584-ACBS,STD.,7.983,37.55,114.2,45º,4,C,7798620,,,,,,,21267 A,
,,,,3585-ECBS,STD.,7.983,31.05,114.2,45º,4,A,7783225,,,,,,,21267 E,
,ALLIS CHALMERS,,,,,,,,,,,,,,,,,,,
G201 (Grader),WC / WF / W25 W / WD / D ,4 ,G,3608-A,STD.,9.436,42.87,131.09,45º,8,A,209132, , ,,,,,,
,,,,3609-E,STD.,9.436,38.1,130.96,45º,8,A,209134,229143,241527,,,,,,
"L4, 3.3 Lts. 200 C.I., 8v. Turbo Diesel",433T / 649T / 180 / 185 / 190 / 200 / 7000 / 7020,4,D,3691-ES,STD,9.417,36.68,152.32,61,8,A,4023379,4028643,4036609,,,,,,
,A.M.C,,,,,,,,,,,,,,,,,,,
134 - (1941-65),Jeep Willis,4 ,G,217-A (USA),STD.,9.466,38.9,147.6,45º,9,A,,,,,,,,,
,,,,1218-E (USA),STD.,9.436,37.28,147.57,45º,9,A,,,,,,,,,
F 134 - (1950-73),Jeep Willis,4 ,G,411-A,STD.,9.48,50.8,121.3,45º,9,C,646421,994946,994969,,,,,1031-A,
,,,,1411-E,STD.,9.43,37.3,150,45º,8,E,802639,,,,,,,21031-E,
150 - 2.5 Lts. - 242 - 4.0 Lts. - (1987-97),Jeep Monaco / Cherokee,4 ,G,3332-A,STD.,7.912,48.5,124.8,45º,2,E,8933003515,33003515,,,,,V-3802,1905-A,
,,,,3332-A,.003,7.988,48.5,124.8,45º,2,E,8933003515,33003515,,,,,V-3802,1905-A,
,,,,3332-A,.005,8.039,48.5,124.8,45º,2,E,8933003515,33003515,,,,,V-3802,1905-A,
,,,,3332-A,.015,8.293,48.5,124.8,45º,2,E,8933003515,33003515,,,,,V-3802,1905-A,
,,,,3333-ECP,STD.,7.912,38.1,125.5,45º,2,E,8933003860,4637537,33003860,,,,S-3801,21905 E,
,,,,3333-ECP,.003,7.988,38.1,125.5,45º,2,E,8933003860,4637537,33003860,,,,S-3801,21905 E,
,,,,3333-ECP,.005,8.039,38.1,125.5,45º,2,E,8933003860,4637537,33003860,,,,S-3801,21905 E,
,,,,3333-ECP,.015,8.293,38.1,125.5,45º,2,E,8933003860,4637537,33003860,,,,S-3801,21905 E,
150 - 2.5 Lts. - (1997-02),AMC 150,4 ,G,3654-A,STD.,7.912,48.5,124.75,45º,6,E,3242659,J3242659,,,,,,,
,,,,3654-AC,.015,8.293,48.5,124.75,45º,6,E,3242659,,,,,,,,
,,,,3655-ECP,STD.,7.912,38.1,125.5,45º,6,A,3242660,3242896,33002429,,,,,,
,,,,3655-ECP,.015,8.293,38.1,125.5,45º,6,A,3242660,3242896,33002429,,,,,,
2.6 Lts.,Jeep Rural / Pick-Up / Aero Willys,4 ,G,3272-A,STD.,9.485,44.4,115.1,45º,8,C, 800558,,,,,,,,
,,,,3273-E,STD.,8.625,35.9,117.45,45º,8,C,B27220,,,,,,,,
230 - (1963-73),Jeep 230,6 ,G,260-A,STD.,8.65,48,118.4,45º,8,C,936979,,,,,,,1047 A,
,,,,1261-ECP,STD.,8.595,41,113.93,45º,8,C,926216,,,,,,,21047 E,
232 - 3.8 Lts. - (1973-79),Rambler Jeep 232,6 ,G,428-A,STD.,9.44,45.4,124.4,30º,5,A,3218732,3218809,3218810,444829C1,,,V-9554,,
,,,,1428-EP,STD.,9.449,35.7,124.25,45º,5,A,3224597,3218813,3224602,,,,S-9555,1037 E,
304 - 5.0 Lts. - V8 - (1970-79),AMC 304,6 / 8 ,G,3204-A,STD.,9.44,45.3,124.4,30º,8,E,3240768,3237465,J3237465,,,,,,
,,,,3204-A,.015,9.821,45.3,124.4,30º,8,E,3240768,3237465,J3237465,,,,,,
,,,,23204-ECP,STD.,9.44,35.6,124.2,45º,8,E,3240767,3237464,J3237464,,,,,,
,,,,23204-ECP,.003,9.516,35.6,124.2,45º,8,E,3240767,3237464,J3237464,,,,,,
,,,,23204-ECP,.015,9.821,35.6,124.2,45º,8,E,3240767,3237464,J3237464,,,,,,
"318 - 5.2 Lts. - 360 - 5.9 Lts.
V8  -  (1969-77)",AMC 318/360,8 ,G,399-AC,STD.,9.461,46,126.47,45º,3,C,3577943,,,,,,V-9548,,
,,,,399-AC,.005,9.588,46,126.47,45º,3,C,3577943,,,,,,V-9548,,
,,,,399-AC,.015,9.842,46,126.47,45º,3,C,3577943,,,,,,V-9548,,
,,,,1399-E,STD.,9.431,38.55,126.99,45º,3,C,3577971,,,,,,S-9549,,
,,,,1399-E,.015,9.812,38.55,126.99,45º,3,C,3577971,,,,,,S-9549,,
"343 - 5.7 Lts.
V8 -  (1967-69)",AMC 343,8,G,389-A,STD.,9.445,51,124.6,30º,8,C,3182585,,,,,,,,
,,,,1474-EP,STD.,9.449,42.67,124.7,45º,5,C,3218731,,,,,,S-9557,,
,,,,1474-EP,.003,9.525,42.67,124.7,45º,5,C,3218731,,,,,,S-9557,,
,,,,1474-ECP,.015,9.449,42.67,124.7,45º,5,C,3218731,3224598,J3224598,,,,,,
"360 - 5.9 Lts. - 383 - 6.3 Lts.
V8  -  (1973-78)",Rambler / Jeep,8 ,G,474-A,STD.,9.449,51.43,124.43,30º,5,C,3218733,3229657,8122756,,,,V-9556,,
,,,,474-A,.015,9.83,51.43,124.43,30º,5,C,3218733,3229657,8122756,,,,V-9556,,
,,,,1474-EP,STD.,9.449,42.67,124.7,45º,5,C,3218731,,,,,,S-9557,,
,,,,1474-EP,.003,9.525,42.67,124.7,45º,5,C,3218731,,,,,,S-9557,,
,,,,1474-ECP,.015,9.83,42.67,124.7,45º,5,C,3218731,3224598,J3224598,,,,,,
2.5 Ltrs,AMC / Jeep 2000-2002,4 ,G,3958-A,STD.,7.912,48.5,124.75,45º,4,E,53010512AA,,,,,,V-9757,,
,,,,3959-ECB,STD.,7.911,38.1,125.46,45º,4,E,53010513AA,,,,,,S-9758,,
,AUDI,,,,,,,,,,,,,,,,,,,
1.4 TFSI 16V,A1 / A3,4,G,4526-A,STD,4.97,28.5,110.25,45º,4,A,04E109601B  ,,,,,,,,
,,,,4527-ECB,STD,4.965,25,110.1,60º,4,A,04E 109 611 J ,,,,,,S-7190,,
"L4, (1.4 LTS.), 1390 C.C.,16 VALVE, TFSI, DOHC, TURBO",A1 / A2 / A3,4,G,4733-A,STD.,5.973,29.5,100.65,45º,4,C,036109601AL ,,,,,,V-7189,,
,,,,4734-EC,STD.,5.95,26,100.60000000000001,45º,4,C,"036109611AE_x000D_
036109611K ",,,,,,S-7190,,
1.5 Lts.  - XZ - (1979),"80 GL/L
100 GL/L",4 ,G,422-A,STD.,7.963,33.95,98.7,45º,2,E,056109601A,,,,,,V-9564,1102-A,
,,,,1422-EB,STD.,7.943,31.15,98.45,45º,2,E,056109611A,,,,,,S-9563,21102 E,
"1.5 Lts. - 1.6 Lts. - WT
(1981)",80 C/CL/GL / 80 CC,4 ,G,825-A,STD.,7.963,34,98.7,45º,4,E,049109601F,,,,,,V-9573,,
,,,,1825-E,STD.,7.94,31.2,98.45,45º,4,E,049109611F,,,,,,S-9574,,
1.6 Lts. - (1981),80C / CL / GL,4 ,D,303-AC,STD.,7.96,34,104.75,45º,4,A, 068109601C, 068109601D,,,,,,6208 A,
,,,,1303-ECB,STD.,7.942,31.08,104.52,45º,4,A,,,,,,,,26208-E,
1.6 Lts. - (1985),80 Quattro cc / cd,4,D,3190-A,STD.,7.97,34,95.6,45º,4,A,068 109 601L,,,,,,,,
1.6 Lts.  - (1987),80 / 90 Normal / Turbo cc / cd,,,3190-AS,STD.,7.97,34,95.6,45º,4,A,,,,,,,,,
,,,,3193-EBS,STD.,7.95,31.1,95.55,45º,4,C,074109611,,,,,,,,
AEB 1.8 Lts.  -  20V  -  1995-97,"A4 / S4 / Avant, Quattro Turbo",4 / 6,G,3488-AS,STD.,5.963,26.9,105.09,45º,4,C,085109601C,,,,,,V-7015,1707 A,Suitable for CNG             --------            Apto GAS
AEB 1.8 Lts. - 20V  - 1997-98,A6 Turbo,,,3489-ECBS    *,STD.,5.94,29.9,103.9,45º,4,C,,,,,,,,,
AJL 1.8 Lts. -  20V - 1997-99,"A4 / S4 / Avant, Quattro ",,,,,,,,,,,,,,,,,,,
AJL 1.8 Lts. -  20V - 1997-99,A6 Turbo,,,,,,,,,,,,,,,,,,,
APY 1.8 Lts. - 20V  - 1998,S3 Turbo,,,,,,,,,,,,,,,,,,,
AFY 1.8  Lts. - 20V  -  1999,"A4 II Avant, Quattro",,,,,,,,,,,,,,,,,,,
AJQ 1.8 Lts.  -  20V  -  1998,A3 Turbo,,,,,,,,,,,,,,,,,,,
AQA 1.8 Lts. -  20V  -  1998,A3 Turbo,,,,,,,,,,,,,,,,,,,
AGU 1.8 Lts.  - 20V  -  1996-98,A3 Turbo,,,,,,,,,,,,,,,,,,,
AGB 2.7 Lts. - V6  - 30V - 1997,S4 / S4 / Avant / A4 II,6,G,,,,,,,,,,,,,,,,,
ADR 1.8 Lts.  -  20V -  1994-97,"A4 / S4 / Avant / Quattro, Cabrio",4,G,3583-ECBS    *,STD.,5.94,29.9,103.9,45º,4,C,,,,,,,,,
ADR 1.8 Lts. -  20V  -  1997-99,A4 /A4 Avant,,,,,,,,,,,,,,,,,,,
AGN 1.8 Lts. - 20V  - 1996-98,A3 ,,,,,,,,,,,,,,,,,,,
ADR 1.8 Lts.  -  20V  -  1997,A6 / A6 Avant / Cabrio,,,,,,,,,,,,,,,,,,,
AFY 1.8 Lts. -   20V  -  1997,"A4 II / Avant, A6",,,,,,,,,,,,,,,,,,,
AGA / AJG / ALF 2.4 Lts.  -   V6    30V  -  1997,A4 / A4 Avant,6,G,,,,,,,,,,,,,,,,,
APZ / APS  2.4 Lts. - V6  - 30V  1999,A4 / S4 Avant,,,,,,,,,,,,,,,,,,,
AGA / AJG / ALF 2.4 Lts.  -  V6 - 30V  -  1997,A6 / A6 Avant,,,,,,,,,,,,,,,,,,,
AFB / AKN 2.5 Lts.  - 30V  - 1999,A4 II / S4 Avant,,,,,,,,,,,,,,,,,,,
ACK / ALG 2.8 Lts. -  V6  - 30V   1997,A4 / A4 II / S4 Avant / Quattro / Cabrio,,,,,,,,,,,,,,,,,,,
ACK 2.8 Lts.  - V6  - 30V  - 1997,A6 / A6 Avant / Quattro / Cabrio,,,,,,,,,,,,,,,,,,,
ACK 2.8 Lts. - V6  -  30V  -  1996,A8 / S8 Quattro,,,,,,,,,,,,,,,,,,,
APR / AQD 2.8  - V6  - 30V   1999,A4 / S4 / A8 Avant,,,,,,,,,,,,,,,,,,,
APR / AQD 2.8 Lts. -  V6   30V  - 1998,A8,,,,,,,,,,,,,,,,,,,
"1.8 Lts. - 2.0 Lts.
1981-84
2.2 Lts. - 1983-87","80GT / CD  90E / GT
80GT5E / 100 5S / 5E / 200E5",4,G,815-A,STD.,7.962,37.95,98.65,45º,4,C,035 109 601 C,,,,,,V-9658,1104-A,
,,,,1815-EB,STD.,7.937,33.15,98.45,45º,4,E,,,,,,,S-9599,21104-E,
,,,,815-AC,STD.,7.962,37.95,98.65,45º,4,C,,,,,,,,1104 AGNC,Suitable for CNG             --------            Apto GAS
,,,,1815-EGX,STD.,7.937,33.15,98.45,45º,4,E,035 109 611F,035 109 611H,,,,,,21104 EGNC,
L4 16v. 1.8lt. Vin B/C/PL  -2.0lt. Vin B/C/E/J,"Quattro / 90 Quattro /S6 / S4.
",4,G,3198-AX,STD,6.955,31.9,95.5,45º,2,A,027 109  601C,,,,,,,,
L5 20v. 2.2lt. Vin A/P/R/AAN  -  2.3lt. Vin E/7A,,5,,,,,,,,,,,,,,,,,,
V8 32v. 3.6lt. Vin E/P/T - . 4.2lt. Vin W/ABH ,,8,,,,,,,,,,,,,,,,,,
L4 16v. 2.0lt. Vin B/C/E/J,,4,G,3199-EX,STD,6.935,28,98.5,45º,2,A,027109611D,027 109 611B,,,,,,,
L5 20v. 2.3lt. Vin E/7A,,5,,,,,,,,,,,,,,,,,,
"1,4 lts. TDI",A2,4,D,4082-A,STD.,6.98,35.85,89.85,45º,4,A,038109601B,,,,,,V-7093,1196 A,
"1,9 lts. TDI","A3, A4 A6",,,4083-EX,STD.,6.963,31.5,89.65,45º,4,A,038109611B,038109611F,,,,,S-7094,21296 E,
"L4 1.8lt / 2.0lt 16v  /
 L5 2.5lt. 20v",Audi Q7 / A6 / A3,4 / 6,G,4408-AX,STD,5.975,33.9,104,45º,4,C,06D109611M,,,,,,,,
,,,,4221-ECB,STD,5.96,28,101.85,45º,4,A,06E109611D,06D109611K,06D109611L,06D109611T,,,S-9784,21716 E,
1.9 Lts.  TDI  - 1Z / AFF / AHU / AFN,80 Turbo / A4 / A6 / ,4,D,3482-AB,STD.,7.964,35.95,96.85,45º,4,C,028109601H,028109601A,028109601H,046109601G,046109601J,049109601J,,21927 A,
2.5 Lts TDI AEL / AFN / AAT,,,,3483-EB,STD.,7.935,31.4,96.85,45º,4,C,046109611C,046109611E,046109611F,,,,,21927 E,
"1.9 Lts. 
 AFN, AHU, AHH,
AGR, ALH, AHF",A3 / A4 / A6 TDI,4,D,3786-A,STD.,6.966,35.98,96.78,45º,4,C,028 109 601 D,,,,,,,1709 A,
,,,,3787-EB,STD.,6.94,31.4,96.7,45º,4,C,028 109 611 G,,,,,,,21709 E,
"2.0 Lts TDI 16v
BKD, AZV, BVG, BRF, BRE, BLB, BNA,
CAGB","A3/ A4 / A5/ 
A6/ Q5",4,,4466-AC,STD,5.973,29,87.8,45º,4,A,03G 109 601 B,,,,,,,1715 A,
,,,,4467-ECB,STD,5.953,25.5,87.6,45º,4,A,03G 109 611 D,,,,,,,21715 E,
2.0 Lts. TDI 16v,"A3 / A4 / A5 / 
A6 / Q5 / TT",4,D,4104-A,STD.,5.975,28.1,99.3,45º,4,A,03L109601,,,,,,V-7191,1292 A,
,,,D,4105-EB,STD.,5.965,26,99.1,45º,4,A,03L109611,,,,,,S-7192,21292 E,
"2.6 Lts. - 2.8 Lts.
30V  - 1994~","A4 Cabrio / Coupé
A6 Avant / Coupé",6,G,3486-A,STD.,6.98,39.5,91.85,45º,4,C,078109601B, ,,,,,V-9749X,1718 A,
"2600-2800cc
30V           1994","A4 Cabrio / Coupé
A6 Avant / Coupé",6 ,G,3485-EB,STD,6.962,32.95,91,45º,4,C, 048109611B, , , ,,,S-9541,21708 E,
L4 2.7lt. - 16v.  / V6 2.7lt. - 24v / V6 3.0lt. - 24v. / V8 4.1lt. - 32 v. / V12 6.0lt. - 48v. TDI ," A4 / A5 / A6 / A8 /Q5 / 
A7 / Q7 ",4 / 6 / 8 /12,D,4460-AC,STD,5.973,28.7,99.3,45º,4,A,059 109 601 G,,,,,,,,
,,,,4461-ECB,STD,5.973,26.75,99.3,45º,4,A,,,,,,,,,
V6 3.2lt. 24v. - BRK / BUB / CBRA / BFH / BHK / BKJ / BKK / BKL ,A3 / TT,6,G,4404-A,STD,5.98,33.2,102.3,45º,4,C,331127,,,,,,,,
,,,,4406-A,STD,5.98,33.2,136.2,45º,4,C,022109601G,,,,,,,,
V6 3.6lt. 24V. - BWS / BLV / CDVA ,,,,4405-EX,STD,5.96,30.2,102.3,45º,4,C,03H109611D,,,,,,,,
,,,,4407-EX,STD,5.96,30.2,136,45º,4,C,022109601H,,,,,,,,
2.5 -3.0 Lts. 24v TDI,A4 / A6,6,D,4878-A,STD,5.975,27.45,99.3,45º,4,A,059.109.601M,,,,,,,,
,,,,4879-E,STD,5.965,25.5,99.1,45º,4,A,059.109.611AR,,,,,,,,
,*NOTE:  Different keeper groove position. NOTA: Diferente posición de ranura.,,,,,,,,,,,,,,,,,,,
,BEDFORD,,,,,,,,,,,,,,,,,,,
300D   -   1957-65,D6 / J6,6,D,101-A,STD.,8.67,43.2,141.5,30º,8,A,7125556,,,,,,,2001 A,
,,,,1102-E,STD.,8.64,37.6,138.5,45º,13,A,7147912,,,,,,,22001-E,
300 / 350D   -  1965-81,Serie S / R - A7 JIP / KC 330 D,6 ,D,103-A,STD.,8.67,42.85,141.5,30º,8,A,,,,,,,,,
,,,,1104-EP,STD.,8.64,37.35,141.25,45º,8,A,,,,,,,,,
,BUICK,,,,,,,,,,,,,,,,,,,
"L4, (2.0 LTS), 1998 C.C., 16 VALVE, DOHC, FLEX, Turbocharged ",BUICK Envision / Regal Sportback / Regal TourX / 	LaCrosse  / 	Regal TourX,4,G,4805-AN,STD.,5.96,36.5,95.8,45°,2,C,12662527,,,,,,,,
"L4, (2.5 LTS), 2457 C.C., 16 VALVE, DOHC, FLEX, Naturally Aspirated",,,,4806-EN,STD.,5.955,29,103.4,45°,2,C,12653010,,,,,,,,
V6 2.8lt. 24v. Vin 4/6 Turbo ,"Lacrosse / Alture
",6,G,4402-AN,STD,5.96,35.15,101.22,45º,2,C,12575352,12620501,,,,,V-7211,,
V6 3.0lt. 24v. Vin 5/LFW / G/Y/LF1 ,,,,,,,,,,,,,,,,,,,,
V6 2.8lt. 24v. A28NER/B284/B284R/GM LP9,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
,,,,,,,,,,,,,,,,,,,,
Ecotec 2.4 Lts 16v,"Lacrosse / RegaL / Verano
",4,G,3806-AC,STD.,5.961,35.13,102.2,45º,4,C,12575793,12622329,90537240,,,,,1318 A,
,,,,3807-ECB,STD.,5.951,30.11,100.9,45º,4,C,12596034,12615936,,,,,,21318 E,
"V6, 217 C.I., (3.6L), DOHC, GAS, FI, 24 Valve, Vin D, V, LLT Direct Injected.", Allure / Enclave / Larrose,6,G,4600-AN,STD,5.963,37,101.3,45º,2,C,12575351,,,,,,,,
,,,,4601-EN,STD,5.95,30.6,97.1,45º,2,C,12575354,,,,,,,,
"V6, 217 C.I(3.6L), DOHC,FLEX,GAS,FI, 24V,VIN 3 LFX DIREECT INJEC
V6, 217 C.I(3.6L), DOHC,GAS,FI, 24V,VIN 8 LF3 TURBO",Lacrosse,6,G,4605-AN,STD,5.959,38.35,100.65,45º,2,C,,,,,,,V-7271,,
,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
,B. M. W.,,,,,,,,,,,,,,,,,,,
"1.6 Lts. - M40B16 - 1988
1.8 Lts. - M40B18 - 1990",316i / 318i / 518i,4 ,G,3178-A,STD.,6.96,41.9,101.93,45º,4,E,,,,,,,,,
,,,,23179-ECBS,STD.,6.95,36,100.9,45º,4,A,1134 1727352,,,,,,,,
"1.6 Lts. - 16V - M42B16 - 1991
1.8 Lts. - 16V - M42B18      
2.5 Lts. - 24V - M50B25 - 1992",316i / 318i / 325i / 525i,4,G,3516-AC,STD.,6.96,32.95,106.7,45º,4,C,11341722908,11341722892,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3517-ECB,STD.,6.956,30.4,106.3,45º,4,A,11341722909,11341726903,,,,,,,
Eng. M52B25 - M44B18 - M52B28 - 1.8 Lts. - 2.5 Lts. DOHC - 24 / 16V. -,323i / 318 TI Compact / 318 Is Coupé / 238 I Coupé - Cabriolet - Touring / 523i / 528i / 728i / Z3 Roadster / 525 Touring ,4 / 6,G,4026-AN,STD.,5.965,33,106.15,45º,4,A,11341739820,11341738218,,,,,,1948 A,
 Año / Year 1992 al 1999,,4 & 6 ,,4027-EPN,STD.,5.948,30.5,105.7,45º,4,A,11341739823,11341739821,1134738219,,,,,21948 E,
"1.9 Lts. - 2.0 Lts. - 2.3 Lts.
M20B27 - 1977-84",320/6 - 520/6 - 320i - 323i - 525i,6 ,G,457-AC,STD.,6.97,39.95,102.5,45º,4,E,1134 1267687,,,,,,,1950 A,
,,,,1457-EC,STD.,6.953,33.9,102.55,45º,4,E,1267688,1271273, , ,,,,21950 E,
"2.0 Lts.  - 24V
M50B20  - 1992",320i / E36 / 520i / E34,4 ,G,3428-AC,STD.,5.963,30,107,45º,4,C,1134 1738220,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,23429-ECBS,STD.,5.95,27,106.4,45º,4,C,1134 1738221,1134 1738215,1134 7502173,1134 7502351,,,,,
M20 L6 2.5Lts 12v,325 IX / 325 I / 325 IS ,6 ,G,3448-A,STD.,6.975,41.85,102.4,45º,4,C,11341708895,1720827,1708895,,,,,,
,,,,3449-ECBS,STD.,6.954,35.9,102.5,45º,4,A,11341287814,1708896,1720828, ,,,,,
" N47 / N57
L4 2.0lt. 16v ",116 / 118 / 120 / 316 / 318 / 320 / 328 / 330,4,D,4462-AC,STD,4.968,27.2,94,45º,4,A,11127797711,,,,,,,,
,,,,4463-EC,STD,4.96,24.7,94,45º,4,A,11347797712,,,,,,,,
,CADILLAC,,,,,,,,,,,,,,,,,,,
"L4, (2.0 LTS), 1998 C.C., 16 VALVE, DOHC, FLEX, Turbocharged ",CADILLAC ATS / 	CTS,4,G,4805-AN,STD.,5.96,36.5,95.8,45°,2,C,12662527,,,,,,,,
"L4, (2.5 LTS), 2457 C.C., 16 VALVE, DOHC, FLEX, Naturally Aspirated",,,,4806-EN,STD.,5.955,29,103.4,45°,2,C,12653010,,,,,,,,
V6 2.8lt. 24v. Vin 4/6 Turbo ,ATS / CTS / SRX,6,G,4402-AN,STD,5.96,35.15,101.22,45º,2,C,12575352,12620501,,,,,V-7211,,
V6 3.0lt. 24v. Vin 5/LFW / G/Y/LF1 ,,,,,,,,,,,,,,,,,,,,
V6 2.8lt. 24v. A28NER/B284/B284R/GM LP9,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
,,,,,,,,,,,,,,,,,,,,
"V6, 217 C.I., (3.6L), DOHC, GAS, FI, 24 Valve, Vin D, V, LLT Direct Injected.", SRX / STS / CTS,6,G,4600-AN,STD,5.963,37,101.3,45º,2,C,12575351,,,,,,,,
,,,,4601-EN,STD,5.95,30.6,97.1,45º,2,C,12575354,,,,,,,,
"V6, 217 C.I(3.6L), DOHC,FLEX,GAS,FI, 24V,VIN 3 LFX DIREECT INJEC
V6, 217 C.I(3.6L), DOHC,GAS,FI, 24V,VIN 8 LF3 TURBO",ATS / CTS / SRX / XTS,6,G,4605-AN,STD,5.959,38.35,100.65,45º,2,C,,,,,,,V-7271,,
,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
"252   -   4.1 Lts.
V8 - 1982-86",DeVille / El dorado / Seville ,8,G,3102-A,STD.,8.676,39,122.5,44º,6,C,1618837,,,,,,,,
,,,,3102-AC,.015,9.057,39,122.5,44º,6,C,,,,,,,,,
,,,,23102-ECP,STD.,8.67,33,120.1,45º,6,C,1621321,,,,,,,,
"252   -   4.1 Lts.
V8 - 1986-88",Eldorado / Seville - (Cadillac),8,G,3113-AC,STD.,8.679,39,122.5,45º,2,C,1635318,,,,,,,,
