3B,MAHLE,EDIVAL,ORIGINAL,FABRICANTE
3326 A,VA0060903,6253 A,7006.00600500.3,AGRALE
3327 E,VE0060323,6253 E,7006.00600600.1,AGRALE
3316 AC,VA0250500,21167 A,60808694,ALFA ROMEO
3317 EC,VE0250501,21167 E,60808695,ALFA ROMEO
3736 AC,VA0250168,1144 A,60811153,ALFA ROMEO
3737 ECBS,VE0250169,21144 E,60811154,ALFA ROMEO
3191 EB,VE0700286,21711 E,074 109 611,AUDI
3310 A,VA0700757,1219 A,026 109 601-C,AUDI
3482 AB,VA0700780,21927 A,028 109 601 H,AUDI
3483 EB,VE0700781,21927 E,046 109 611 F,AUDI
3488 AS,VA0700242,1707 A,058 109 601 C,AUDI
3489 ECBS,VE0700243,21707 E,058 109 611 E,AUDI
101 A,VA0730792,2001 A ,7125556,BEDFORD
101 A+0.8,VA0730792+08,2001 A+08,,BEDFORD
103 A,VA0730794,2017 A,5751532-6384866,BEDFORD
103 A+0.8,VA0730794+08,2017 A+08,,BEDFORD
1102 E,VE0730793,22001 E,7147912,BEDFORD
1102 E+0.8,VE0730793+08,22001 E+08,,BEDFORD
1104 EP,VE0730795,22017 E,5754448-6366427,BEDFORD
1104 EP+0.8,VE0730795+08,22017 E+08,,BEDFORD
1457 EC,VE1400817,21950 E,1280643,BMW
23179 ECBS,VE1401179,21949 E,11341727352,BMW
3178 A,VA1401176,1949 A,11341727358,BMW
3448 A,VA1401177,1952 A,1720827,BMW
3449 ECBS,VE1401180,21952 E,1720828,BMW
4026 AN,VA1401226,1948 A,11341739820/822,BMW
4027 EPN,VE1400820,21948 E,11341739821/823,BMW
457 A,VA1400816,1950 A,1265453-1267721,BMW
108 A,VA3200866,1061 A,1113041000,BORGWARD
108 A+0.8,VA3200866+08,1061 A+08,,BORGWARD
1109 E,VE3200867,21061 E,1113041100,BORGWARD
1109 E0.8,VE3200867+08,21061 E+08,,BORGWARD
1253 E,VE3200865,1033 E,E41-14-2,BORGWARD
1253 E+0.8,VE3200865+08,1033 E+08,,BORGWARD
1567 ACP,VA0040322,21054 A,20360026A,BORGWARD
1567 ECBM,VE0040322,21054 E,20370025A,BORGWARD
252 A,VA3200864,1033 A,E41-14-1,BORGWARD
252 A+0.8,VA3200864+08,1033 A+08,,BORGWARD
1561 EB,VE0110234,22009 E,9L-7683,CATERPILLAR
1569 AP,VA0110917,22010 A,1P-0407,CATERPILLAR
1573 ABS,VA0110919,23040 A,2W-2621/7S-8809,CATERPILLAR
1573 EBS,VE0111237,23140 E,2W-2877,CATERPILLAR
23210 EBS,VE0110146,23053 E,6N-9916,CATERPILLAR
3210 AS,VA0110921,23053 A,2W-2620,CATERPILLAR
3614 AC,VA0110232,23077 A,7W-8064,CATERPILLAR
3615 EC,VE0110233,23077 E,136-0819,CATERPILLAR
561 A,VA0110235,2009 A,9L-7682,CATERPILLAR
573 A,VA0110143,3040 A,5S-6452,CATERPILLAR
573 E,VE0110142,3040 E,5S-6449,CATERPILLAR
1275 E,VE0100333,21038 EGNC,,CHRYSLER
1275 E+10,"VE0100333 0,254",21038 EGNC3,,CHRYSLER
1275 E+15,"VE0100333 0,381",21038 EGNC4,,CHRYSLER
1275 E+20 ,"VE0100333 0,508",21038 EGNC5,,CHRYSLER
1275 E+3,"VE0100333 0,076",21038 EGNC1,,CHRYSLER
1275 E+30,"VE0100333 0,762",21038 EGNC6,,CHRYSLER
1275 E+5,"VE0100333 0,127 ",21038 EGNC2,,CHRYSLER
1280 E,VE0100340,21039 E,3830705-2465339,CHRYSLER
1280 E+10,"VE0100340 0,254",21039 E3,,CHRYSLER
1280 E+15,"VE0100340 0,381",21039 E4,2465341,CHRYSLER
1280 E+20,"VE0100340 0,508",21039 E5,,CHRYSLER
1280 E+3,"VE0100340 0,076",21039 E1,,CHRYSLER
1280 E+30,"VE0100340 0,762",21039 E6,2465342,CHRYSLER
1280 E+5,"VE0100340 0,127",21039 E2,2465340,CHRYSLER
1297 EGX,VE0100334,21063 EGNC,,CHRYSLER
1297 EGX+10,"VE0100334 0,254",21063 EGNC3,,CHRYSLER
1297 EGX+15,"VE0100334 0,381",21063 EGNC4,,CHRYSLER
1297 EGX+3,"VE0100334 0,076",21063 EGNC1,,CHRYSLER
1297 EGX+30,"VE0100334 0,762",21063 EGNC6,,CHRYSLER
1297 EGX+5,"VE0100334 0,127",21063 EGNC2,,CHRYSLER
159 A,VA0101341,1015 A,1109912,CHRYSLER
274 A,VA0100330,1038 AGNC,,CHRYSLER
274 A+10,"VA0100330 0,254",1038 AGNC3,,CHRYSLER
274 A+15,"VA0100330 0,381",1038 AGNC4,,CHRYSLER
274 A+20 ,"VA0100330 0,508",1038 AGNC5,,CHRYSLER
274 A+3,"VA0100330 0,076",1038 AGNC1,,CHRYSLER
274 A+30,"VA0100330 0,762",1038 AGNC6,2121580,CHRYSLER
274 A+5,"VA0100330 0,127",1038 AGNC2,,CHRYSLER
280 A,VA0100335,1039 A,2465335,CHRYSLER
280 A+10,"VA0100335 0,254",1039 A3,,CHRYSLER
280 A+15,"VA0100335 0,381",1039 A4,2465337,CHRYSLER
280 A+20,"VA0100335 0,508",1039 A5,,CHRYSLER
280 A+3,"VA0100335 0,076",1039 A1,,CHRYSLER
280 A+30,"VA0100335 0,762",1039 A6,2465338,CHRYSLER
280 A+5,"VA0100335 0,127",1039 A2,2465336,CHRYSLER
297 AC,VA0100332,1063 AGNC,,CHRYSLER
297 AC+10,"VA0100332 0,254",1063 AGNC3,,CHRYSLER
297 AC+15,"VA0100332 0,381",1063 AGNC4,,CHRYSLER
297 AC+20,"VA0100332 0,508",1063 AGNC5,,CHRYSLER
297 AC+3,"VA0100332 0,076",1063 AGNC1,,CHRYSLER
297 AC+30,"VA0100332 0,762",1063 AGNC6,,CHRYSLER
297 AC+5,"VA0100332 0,127",1063 AGNC2,,CHRYSLER
3333 ECP,VE0100343,21905 E,8933003860/3516-53010513AA,CHRYSLER
3470 AC,VA0100337,1698 A,4648615,CHRYSLER
3471 ECP,VE0100341,21698 E,4648613,CHRYSLER
3500 AC,VA0100338,1699 A,,CHRYSLER
3501 ECP,VE0100342,21699 E,,CHRYSLER
3524 A,VA0100339,1905 A,8933003515-53010512AA,CHRYSLER
3525 ECP,VE0100915,21915 E,,CHRYSLER
1117 E,VE0660751,21060 E,AM-124-8D,CITROËN
1117 E+3,"VE0660751 0,076",21060 E1,,CITROËN
1117 E+5,"VE0660751 0,127",21060 E2,,CITROËN
116 A,VA0660750,1060 A,AM-124-111A,CITROËN
116 A+3,"VA0660750 0,076",1060 A1,,CITROËN
116 A+5,"VA0660750 0,127",1060 A2,,CITROËN
23301 ECB,VE0440585,21205 E,9153501980,CITROËN
3301 AC,VA0440551,1205 AGNC,9153501780,CITROËN
3302 AC,VA0440568,1206 A,96005391,CITROËN
3303 EC,VE0440586,21206 E,96272853,CITROËN
3564 A,VA0440576,1230 A,97327262,CITROËN
3565 ECB,VE0440283,21230 E,96304239,CITROËN
3616 A,VA0440578,1423 A,0948A9,CITROËN
3617 ECBS,VE0440598,21423 E,0949A8,CITROËN
3842 A,VA0440574,1227 A,96150145,CITROËN
3843 E,VE0440595,21227 E,96150144,CITROËN
3844 AC,VA0441078,1420 A,0948.C2,CITROËN
3845 ECB,VE0441054,21420 E,0949.B1,CITROËN
3884 A,VA0440579,1424 A,0948.99,CITROËN
3885 ECB,VE0440599,21424 E,0949.99,CITROËN
4010 A ,VA0440575,1228 A,96101886/96183535,CITROËN
4011 ECB ,VE0440596,21228 E,96101887,CITROËN
4034 AN,VA0440572,1224 A,97531079,CITROËN
4035 EPN,VE0440593,21224 E,97531046,CITROËN
1420 EBS,VC0210148,22205 AE,145701,CUMMINS
1580 E,VC0211248,22004 AE,3275355,CUMMINS
3334 AC,VA0210153,2077 A,3924492-3802463,CUMMINS
3335 ECP,VE0210152,22177 E,3921444-3802085,CUMMINS
3466 AC,VA0210151,2078 A,3920867-3802355,CUMMINS
3467 ECB,VE0210150,22078 E,3920868-3802356,CUMMINS
3633 EBS,VE0211260,22276 E,3800891-3166410,CUMMINS
3976 AC,VA0210442,2074 A,3940735-3802924,CUMMINS
3977 ECB,VE0210443,22074 E,3940734-3802967,CUMMINS
4024 AC,VA0211371,2178 A,3942588-3800340,CUMMINS
4025 ECB,VE0211372,22178 E,3942589-3800341,CUMMINS
420 A,VA0210147,2005 A,135957,CUMMINS
3794 AN,VA0950815,5102 A,,DAEWOO
3795 EBN,VE0951222,25102 E,,DAEWOO
3799 AN,VA0950815,5102 A,,DAEWOO
3816 AN,VA0951152,5101 A,96182934,DAEWOO
3817 EPN,VE0951264,25101 E,96182933,DAEWOO
1455 ECP,VE2020845,21085 E,13715-87701,DAIHATSU
455 A,VA2020844,1085 A,13711-87701,DAIHATSU
3445 ECB,VE0611275,22080 E,23507504/6350,DETROIT DIESEL
3446 AC,VA0611265,2080 A,23501576-8929589,DETROIT DIESEL
1282 ECS,VE0500621,22028 E,2409416ED14708,DEUTZ
1282 ECS+0.8,VE0500621+08,22028 E+08,,DEUTZ
1549 ECP,VE0500624,23034 E,20460ED015208,DEUTZ
1549 ECP+0.8,VE0500624+08,23034 E+08,,DEUTZ
1555 ACB,VA0500643,3035 A,2137457ED015508,DEUTZ
1555 ACB+0.4,VA0500643+04,3035 A+04,,DEUTZ
1555 ACB+0.8,VA0500643+08,3035 A+08,,DEUTZ
1555 ECB,VE0500625,23035 E,4153696EB015508,DEUTZ
1555 ECB+0.4,VE0500625+04,23035 E+04,,DEUTZ
1555 ECB+0.8,VE0500625+08,23035 E+08,,DEUTZ
1556 ACB,VA0500626,23036 A,4153631EB015508,DEUTZ
1556 ACB (30º),VA0500631,23136 A,4153455EB015508,DEUTZ
1556 ACB (30º)+0.4,VA0500631+04,23136 A+04,,DEUTZ
1556 ACB (30º)+0.8,VA0500631+08,23136 A+08,,DEUTZ
1556 ACB+0.4,VA0500626+04,23036 A+04,,DEUTZ
1556 ACB+0.4,VA0500629+04,23037 A+04,,DEUTZ
1556 ACB+0.8,VA0500626+08,23036 A+08,,DEUTZ
1556 ECB,VE0500627,23036 E,4153697EB015508,DEUTZ
1556 ECB+0.4,VE0500627+04,23036 E+04,,DEUTZ
1556 ECB+0.8,VE0500627+08,23036 E+08,,DEUTZ
1557 ACB,VA0500644,3135 A,4159138EB015508,DEUTZ
1557 ACB 30°,VA0500634,23336 A,4159140EB015508,DEUTZ
1557 ACBS+0.4 30°,VA0500634+04,23336 A+04,,DEUTZ
1557 ACBS+0.8 30°,VA0500634+08,23336 A+08,,DEUTZ
1557 ECBS,VE0500632,23136 E,4159139EB015508,DEUTZ
1557 ECBS+0.4,VE0500632+04,23136 E+04,,DEUTZ
1557 ECBS+0.8,VE0500632+08,23136 E+08,,DEUTZ
282 A,VA0500620,2028 A,2402585-ED-014708,DEUTZ
282 A+0.8,VA0500620+08,2028 A+08,,DEUTZ
4014 AC,VA0501391,3004 A,04283380EA013108,DEUTZ
4015 ECB,VE0501392,23004 E,04283381EA013108,DEUTZ
504 A,VA0500636,3009 A,E0154084233,DEUTZ
505 E,VE0500637,3009 E,E0154084234,DEUTZ
506 A,VA0500638,3010 A,E0152084621,DEUTZ
507 E,VE0500639,3010 E,E0152081325,DEUTZ
508 A,VA0500640,3011 A,E01440820004,DEUTZ
508 A+0.8,VA0500640+08,3011 A+08,,DEUTZ
509 E,VE0500641,3011 E,E01440820003,DEUTZ
509 E+0.8,VE0500641+08,3011 E+08,,DEUTZ
549 A,VA0500642,3034 A,20458ED015208,DEUTZ
549 A+0.8,VA0500642+08,3034 A+08,,DEUTZ
1168 E,VE0250468,21017 E,4064702,FIAT
1169 E,VE0250474,21056 E,4121898,FIAT
1173 E,VE0250472,21042 E,4094908,FIAT
1174 E,VE0250476,21067 E,4127675,FIAT
1175 EC,VE0250493,21066 E,4250440,FIAT
1175 ECSS,VE0250053,21266 EGNC,5973128,FIAT
1177 EC,VE0250478,21076 E,4377979,FIAT
1281 EC,VE0250494,21068 E,4359309,FIAT
1281 EG,VE0250464,21068 EGNC,,FIAT
1380 EC,VE0250001,26001 E,59852970,FIAT
1382 EC,VE0250480,21166 E,5975341,FIAT
1383 EC,VE0250059,21089 EGNC,,FIAT
1383 EC,VE0250496,21089 E,5973129,FIAT
167 A,VA0250467,1017 A,4064701-4132958,FIAT
169 A,VA0250473,1056 A,4121897,FIAT
170 A,VA0250469,1018 A,4015440,FIAT
171 E,VE0250470,1018 E,4015441,FIAT
172 A,VA0250471,1042 A,4080364,FIAT
174 A,VA0250475,1067 A,4127674,FIAT
176 AC,VA0250477,1076 A,4265695,FIAT
1826 AC,VA0250159,1166 A,7547400,FIAT
1826 ECB,VE0250158,21165 E,7597080,FIAT
1828 AC,VA0250506,21706 A,4424173,FIAT
1828 EC,VE0250507,21706 E,4424174,FIAT
23234 EC,VE0250995,21262 E,46559032,FIAT
281 AC,VA0250463,1068 AGNC,4255779,FIAT
3234 AC,VA0250018,1162 A,46470637-46559031,FIAT
3316 AC,VA0250500,21167 A,60808694,FIAT
3317 EC,VE0250501,21167 E,60808695,FIAT
3320 AC,VA0250052,21153 AGNC,7722907,FIAT
3321 ECB,VE0250051,21153 EGNC,,FIAT
3321 ECB,VE0250497,21153 E,7574742,FIAT
3384 ACS,VA0250498,21164 A,7547158,FIAT
3385 ECS,VE0250499,21164 E,7588577,FIAT
3514 AC,VA0250165,1163 AGNC,46517325,FIAT
3515 EC,VE0250164,21163 EGNC,46761370-46461209,FIAT
3558 AC,VA0250166,6003 AGNC,46553048,FIAT
3559 ECB,VE0250163,26003 E,46553049,FIAT
3584 ACBS,VA0250503,21267 A,7798620,FIAT
3585 ECBS,VE0250504,21267 E,7783225,FIAT
3600 AC,VA0250160,1264 A,7735898,FIAT
3601 ECBS,VE0250161,21264 E,7735899,FIAT
3737 ECBS,VE0250169,21144 E,60811154,FIAT
380 AC,VA0250002,6001 A,4340118,FIAT
3800 AC,VA0250162,6002 AGNC,46553046,FIAT
3801 EC,VE0250166,26002 E,46553047,FIAT
3956 AC,VA0250271,6004 A,55205734,FIAT
3957 ECB,VE0251435,26104 E,55203211,FIAT
3997 ECB,VE0250272,26004 E,55195498,FIAT
3998 AC,VA0251433,6103 A,55185028,FIAT
3999 ECB,VE0251434,26103 E,55185080,FIAT
513 A,VA0250519,3012 A,561286,FIAT
514 E,VE0250520,3012 E,576457,FIAT
515 A,VE0250523,3014 E,555325,FIAT
516 E,VE0250521,3013 E,539715,FIAT
517 A,VA0250522,3014 A,555324,FIAT
517 A+0.8,VA0250522+08,3014 A+08,,FIAT
518 E+0.8,VE0250523+08,3014 E+08,,FIAT
519 A ,VA0250538,3032 A,8823545-8823548,FIAT
519 A +0.8,VA0250538+08,3032 A+08,,FIAT
520 E ,VE0250535,3029 E,8823544,FIAT
520 E +0.8,VE0250535+08,3029 E+08,,FIAT
521 A,VA0250524,3015 A,580605,FIAT
521 A+0.8,VA0250524+08,3015 A+08,,FIAT
522 E,VE0250525,3015 E,580606,FIAT
522 E+0.8,VE0250525+08,3015 E+08,,FIAT
523 A,VA0250533,3026 A,8806875,FIAT
524 E,VE0250534,3026 E,8806876,FIAT
538 A,VA0250529,3022 A,109443,FIAT
539 E,VE0250530,3022 E,109442,FIAT
540 A,VA0250527,3021 A,8504782,FIAT
541 E,VE0250528,3021 E,8504783,FIAT
544 A,VA0250531,3025 A,8300314,FIAT
545 E,VE0250532,3025 E,8300387,FIAT
547 A,VA0250536,3031 A,8824754,FIAT
547 A+0.8,VA0250536+08,3031 A+08,,FIAT
548 E,VE0250537,3031 E,8825776,FIAT
548 E+0.8,VE0250537+08,3031 E+08,,FIAT
855 AC,VA0250465,1666 AGNC,7609772,FIAT
856 AC,VA0250054,1667 AGNC,7617500,FIAT
3146 AC,VA0140086,1311 AGNC,7083246,FIAT
3147 ECB,VE0140370,21311 EGNC,7083242,FIAT
4156 AC,VA0251632,6006 A,55240709,FIAT
4256 AC,VA0251633,6106 A,55219002,FIAT
4257 EC,VE0251476,26006 E,55218807,FIAT
1190 E,VE0590681,21022 E,CODE-6505-J/A,FORD
1190 E+10,"VE0590681 0,254",21022 E3,,FORD
1190 E+15,"VE0590681 0,381",21022 E4,CODE-6505-L/C,FORD
1190 E+20,"VE0590681 0,508",21022 E5,,FORD
1190 E+3,"VE0590681 0,076",21022 E1,CODE-6505-K/B,FORD
1190 E+30,"VE0590681 0,762",21022 E6,,FORD
1190 E+5,"VE0590681 0,127",21022 E2,,FORD
1192 E,VE0590690,21045 E,BAC4DZ-6505-A,FORD
1192 E+10,"VE0590690 0,254",21045 E3,,FORD
1192 E+15,"VE0590690 0,381",21045 E4,BAC4DZ-6505-C,FORD
1192 E+20,"VE0590690 0,508",21045 E5,,FORD
1192 E+3,"VE0590690 0,076",21045 E1,,FORD
1192 E+30,"VE0590690 0,762",21045 E6,,FORD
1192 E+5,"VE0590690 0,127",21045 E2,,FORD
1192 EG,VE0590665,21064 EGNC,,FORD
1192 EG+10,"VE0590665 0,254",21064 EGNC3,,FORD
1192 EG+15,"VE0590665 0,381",21064 EGNC4,,FORD
1192 EG+20,"VE0590665 0,508",21064 EGNC5,,FORD
1192 EG+3,"VE0590665 0,076",21064 EGNC1,,FORD
1192 EG+30,"VE0590665 0,762",21064 EGNC6,,FORD
1192 EG+5,"VE0590665 0,127",21064 EGNC2,,FORD
1195 E,VE0590683,22006 EGNC,,FORD
1195 E+10,"VE0590683 0,254",22006 EGNC3,,FORD
1195 E+15,"VE0590683 0,381",22006 EGNC4,,FORD
1195 E+20,"VE0590683 0,508",22006 EGNC5,,FORD
1195 E+3,"VE0590683 0,076",22006 EGNC1,,FORD
1195 E+30,"VE0590683 0,762",22006 EGNC6,,FORD
1195 E+5,"VE0590683 0,127",22006 EGNC2,,FORD
1291 EGX,VE0590682,21078 EGNC,,FORD
1291 EGX+10,"VE0590682 0,254",21078 EGNC3,,FORD
1291 EGX+15,"VE0590682 0,381",21078 EGNC4,,FORD
1291 EGX+20,"VE0590682 0,508",21078 EGNC5,,FORD
1291 EGX+3,"VE0590682 0,076",21078 EGNC1,,FORD
1291 EGX+30,"VE0590682 0,762",21078 EGNC6,,FORD
1291 EGX+5,"VE0590682 0,127",21078 EGNC2,,FORD
1310 EG,VE0590694,21098 EGNC,,FORD
1310 EG+10,"VE0590694 0,254",21098 EGNC3,,FORD
1310 EG+15,"VE0590694 0,381",21098 EGNC4,,FORD
1310 EG+3,"VE0590694 0,076",21098 EGNC1,,FORD
1310 EG+5,"VE0590694 0,127",21098 EGNC2,,FORD
1329 E,VE0590720,26064 E,D6NN-6505-A,FORD
1329 E+15,"VE0590720 0,381",26064 E4,D6NN-6505-C,FORD
1329 E+3,"VE0590720 0,076",26064 E1,D6NN-6505-B,FORD
1329 E+30,"VE0590720 0,762",26064 E6,,FORD
1367 EGX,VE0590669,21087 EGNC,,FORD
1367 EGX+10,"VE0590669 0,254",21087 EGNC3,,FORD
1367 EGX+15,"VE0590669 0,381",21087 EGNC4,,FORD
1367 EGX+3,"VE0590669 0,076",21087 EGNC1,,FORD
1367 EGX+5,"VE0590669 0,127",21087 EGNC2,,FORD
1498 ACP,VA0570111,22031 A,70910011,FORD
1498 ECP,VE0570112,22031 E,70910012,FORD
1565 ECP,VE0130010,6151 E,9.3080.460.0024,FORD
1814 ECP,VE0590708,21187 E,84AU-6505-B,FORD
1815 EB,VE0590703,21104 E,035 109 611 F,FORD
1815 EGX,VE0700016,21104 EGNC,,FORD
183 AE,VC0590684,1019 AE,A/B-6505,FORD
189 A,VA0590685,1022 A,CIDE-6507-A,FORD
189 A+10,"VA0590685 0,254",1022 A3,,FORD
189 A+15,"VA0590685 0,381",1022 A4,CIDE-6507-C,FORD
189 A+20,"VA0590685 0,508",1022 A5,,FORD
189 A+3,"VA0590685 0,076",1022 A1,CIDE-6507-B,FORD
189 A+30,"VA0590685 0,762",1022 A6,CIDE-6507-D,FORD
189 A+5,"VA0590685 0,127",1022 A2,,FORD
191 A,VA0590689,1045 A,BAC4DZ-6507-A,FORD
191 A+10,"VA0590689 0,254",1045 A3,,FORD
191 A+15,"VA0590689 0,381",1045 A4,BAC4DZ-6507-C,FORD
191 A+20,"VA0590689 0,508",1045 A5,,FORD
191 A+3,"VA0590689 0,076",1045 A1,BAC4DZ-6507-B,FORD
191 A+30,"VA0590689 0,762",1045 A6,,FORD
191 A+5,"VA0590689 0,127",1045 A2,,FORD
193 AC,VA0590664,1064 AGNC,,FORD
193 AC+10,"VA0590664 0,254",1064 AGNC3,,FORD
193 AC+15,"VA0590664 0,381",1064 AGNC4,,FORD
193 AC+20,"VA0590664 0,508",1064 AGNC5,,FORD
193 AC+3,"VA0590664 0,076",1064 AGNC1,,FORD
193 AC+30,"VA0590664 0,762",1064 AGNC6,,FORD
193 AC+5,"VA0590664 0,127",1064 AGNC2,,FORD
194 A,VA0590679,2007 AGNC,,FORD
194 A+10,"VA0590679 0,254",2007 AGNC3,,FORD
194 A+15,"VA0590679 0,381",2007 AGNC4,,FORD
194 A+20,"VA0590679 0,508",2007 AGNC5,,FORD
194 A+3,"VA0590679 0,076",2007 AGNC1,,FORD
194 A+30,"VA0590679 0,762",2007 AGNC6,,FORD
194 A+5,"VA0590679 0,127",2007 AGNC2,,FORD
197 A,VA0591085,2006 AGNC,,FORD
197 A+10,"VA0591085 0,076",2006 AGNC1,,FORD
197 A+15,"VA0591085 0,127",2006 AGNC2,,FORD
197 A+20,"VA0591085 0,254",2006 AGNC3,,FORD
197 A+3,"VA0591085 0,381",2006 AGNC4,,FORD
197 A+30,"VA0591085 0,508",2006 AGNC5,,FORD
197 A+5,"VA0591085 0,762",2006 AGNC6,,FORD
198 A,VA0591089,6059 A,B7A-6507-AA,FORD
198 A+15,"VA0591089 0,381",6059 A4,B7A-6507-AC,FORD
198 A+3,"VA0591089 0,076",6059 A1,B7A-6507-AB,FORD
198 A+30,"VA0591089 0,762",6059 A6,B7A-6507-AD,FORD
